FILE NAME,SITE NAME,SITE CODE,COUNTRY,CONTRIBUTOR (ABBREVIATED),CONTRIBUTOR (FULL),CONTRIBUTOR WEBSITE,CONTRIBUTOR CONTACT,ORGINATOR,ORIGINATOR WEBSITE,ORIGINATOR CONTACT,LATITUDE,LONGITUDE,COORDINATE SYSTEM,START DATE/TIME,END DATE/TIME,NUMBER OF YEARS,TIME ZONE HOURS,DATUM INFORMATION,INSTRUMENT,PRECISION,NULL VALUE,GAUGE TYPE,OVERALL RECORD QUALITY
aasiaat-aas-grl-gloss,Aasiaat,AAS,GRL,GLOSS,Global Sea Level Observing System,"https://www.gloss-sealevel.org",I.D.Haigh@soton.ac.uk,Global Sea Level Observing System,"https://www.gloss-sealevel.org",I.D.Haigh@soton.ac.uk,  68.71000000, -52.88330000,Unspecified,1997/06/26 15:53:00,1999/06/28 11:18:00,3,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
maniitsoq-man-grl-gloss,Maniitsoq,MAN,GRL,GLOSS,Global Sea Level Observing System,"https://www.gloss-sealevel.org",I.D.Haigh@soton.ac.uk,Global Sea Level Observing System,"https://www.gloss-sealevel.org",I.D.Haigh@soton.ac.uk,  65.41330000, -52.90500000,Unspecified,1997/06/30 21:02:00,1999/06/20 23:53:00,3,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
brest-822a-fra-uhslc,Brest,822A,FRA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu,Systeme d'Observation du Niveau des Eaux Littorales (SONEL)  Centre Littoral de Geophysique (CLDG)  Universite de La Rochelle  France in collaboration with Service Hydrographique et Oceanographique de la Marine (SHOM)  France ,"Unspecified",Unspecified,  48.38300000,  -4.49500000,Unspecified,1846/01/04 00:00:00,2018/12/31 23:00:00,165,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
stockholm-826a-swe-uhslc,Stockholm,826A,SWE,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Swedish Meteorological and Hydrographical Institute  Sweden ,"Unspecified",Unspecified,  59.32500000,  18.08200000,Unspecified,1889/01/01 00:00:00,2014/12/31 23:00:00,125,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
san_francisco_ca-551a-usa-uhslc,San_Francisco_CA,551A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  37.80700000,-122.46500000,Unspecified,1897/08/01 08:00:00,2018/12/31 23:00:00,122,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
hornbaek-838a-dnk-uhslc,Hornbaek,838A,DNK,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Danish Meteorological Institute  Denmark,"Unspecified",Unspecified,  56.10000000,  12.46700000,Unspecified,1891/01/01 13:00:00,2012/12/31 23:00:00,122,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
gedser-837a-dnk-uhslc,Gedser,837A,DNK,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Danish Meteorological Institute  Denmark ,"Unspecified",Unspecified,  54.56700000,  11.93300000,Unspecified,1891/09/01 19:00:00,2012/12/31 23:00:00,122,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
marseille-824a-fra-uhslc,Marseille,824A,FRA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu,Systeme d'Observation du Niveau des Eaux Littorales (SONEL)  Centre Littoral de Geophysique (CLDG)  Universite de La Rochelle  France in collaboration with Service Hydrographique et Oceanographique de la Marine (SHOM)  France ,"Unspecified",Unspecified,  43.27800000,   5.35300000,Unspecified,1849/11/01 09:00:00,2018/12/31 23:00:00,118,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
honolulu_hawaii-057b-usa-uhslc,Honolulu_Hawaii,057B,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  21.30700000,-157.86700000,Unspecified,1905/01/01 10:00:00,2018/12/31 23:00:00,114,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
galveston_pier_21-775a-usa-uhslc,Galveston_Pier_21,775A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  29.31000000, -94.79300000,Unspecified,1904/01/01 06:00:00,2018/12/31 23:00:00,114,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
san_diego_ca-569a-usa-uhslc,San_Diego_CA,569A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  32.71300000,-117.17300000,Unspecified,1906/01/21 08:00:00,2018/12/31 23:00:00,113,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
balboa-302a-pan-uhslc,Balboa,302A,PAN,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Autoridad de Canal de Panama  Seccion de Meteorologia e Hidrologia  Division de Ingenieria  Panama Canal  Panama ,"Unspecified",Unspecified,   8.96500000, -79.57300000,Unspecified,1907/06/19 19:00:00,2018/12/31 23:00:00,112,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
victoria_bc-543a-can-uhslc,Victoria_BC,543A,CAN,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Marine Environmental Data Service  Department of Fisheries and Oceans  Canada ,"Unspecified",Unspecified,  48.42500000,-123.37000000,Unspecified,1909/02/18 09:00:00,2018/12/31 23:00:00,110,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
