,id,geometry,samples
0,1,POINT (809854.2543305862 2181885.121534152),"[[ 2.260000e+02  4.240000e+02  3.040000e+02  8.270000e+02  2.579000e+03
  -7.176157e-01  7.891086e-01]]"
1,1,POINT (807783.7984324143 2183371.787287402),"[[ 2.140000e+02  3.510000e+02  2.520000e+02  7.310000e+02  2.260000e+03
  -7.311375e-01  7.993631e-01]]"
2,1,POINT (810030.6494469075 2181983.8043600353),"[[ 2.4000000e+02  4.1500000e+02  2.7700000e+02  9.2600000e+02
   2.6240000e+03 -7.2688383e-01  8.0903137e-01]]"
3,1,POINT (809970.9410663408 2182343.954694538),"[[ 2.3700000e+02  4.3200000e+02  3.0300000e+02  8.4200000e+02
   2.4990000e+03 -7.0522004e-01  7.8372592e-01]]"
4,1,POINT (810033.7110639405 2182830.1658076216),"[[ 2.420000e+02  4.050000e+02  2.930000e+02  8.380000e+02  2.483000e+03
  -7.195291e-01  7.889049e-01]]"
5,1,POINT (810108.7367916388 2181386.7053254223),"[[ 2.600000e+02  5.240000e+02  2.860000e+02  9.900000e+02  3.188000e+03
  -7.176724e-01  8.353483e-01]]"
6,1,POINT (810955.4548654851 2181043.805764697),"[[ 3.7300000e+02  5.4900000e+02  4.5500000e+02  8.9000000e+02
   2.1420000e+03 -5.9197325e-01  6.4959568e-01]]"
7,1,POINT (808586.2040004795 2180028.706750142),"[[ 2.47000e+02  5.04000e+02  3.06000e+02  9.37000e+02  2.69400e+03
  -6.84803e-01  7.96000e-01]]"
8,1,POINT (808581.5343017303 2179886.967125735),"[[ 3.0600000e+02  4.6900000e+02  3.8200000e+02  8.5800000e+02
   2.0260000e+03 -6.2404811e-01  6.8272424e-01]]"
9,1,POINT (816550.7031730692 2182134.0123022837),"[[ 3.9000000e+02  5.1200000e+02  3.8700000e+02  8.2700000e+02
   2.4670000e+03 -6.5626049e-01  7.2880167e-01]]"
10,1,POINT (817481.1769979177 2183892.8475744957),"[[ 3.830000e+02  5.950000e+02  3.770000e+02  9.990000e+02  2.741000e+03
  -6.432854e-01  7.581783e-01]]"
11,1,POINT (815845.7653390423 2184717.067228466),"[[ 4.0300000e+02  6.6200000e+02  3.8300000e+02  1.1210000e+03
   3.3210000e+03 -6.6758722e-01  7.9319656e-01]]"
12,1,POINT (815510.9037161259 2184318.0885035987),"[[ 3.9400000e+02  6.6300000e+02  3.1600000e+02  1.1220000e+03
   3.6170000e+03 -6.9018692e-01  8.3930844e-01]]"
13,1,POINT (815376.4259203668 2184067.8408636805),"[[ 3.9000000e+02  5.8100000e+02  4.1700000e+02  9.8900000e+02
   2.6090000e+03 -6.3573670e-01  7.2438866e-01]]"
14,1,POINT (816739.0880301216 2184757.7527030054),"[[ 3.580000e+02  6.700000e+02  3.910000e+02  9.570000e+02  3.169000e+03
  -6.509508e-01  7.803371e-01]]"
15,1,POINT (820914.9440912219 2184101.4550319198),"[[ 3.650000e+02  5.110000e+02  3.910000e+02  9.400000e+02  2.515000e+03
  -6.622604e-01  7.309016e-01]]"
16,1,POINT (821959.089614159 2183783.9261235893),"[[ 3.9500000e+02  6.5200000e+02  4.3300000e+02  1.0180000e+03
   2.9600000e+03 -6.3898116e-01  7.4476862e-01]]"
17,1,POINT (818363.9026396032 2182936.593957637),"[[ 3.830000e+02  6.400000e+02  3.850000e+02  1.010000e+03  2.864000e+03
  -6.347032e-01  7.630040e-01]]"
18,1,POINT (816895.9893023642 2182949.333310728),"[[ 3.880000e+02  5.800000e+02  3.640000e+02  8.920000e+02  2.656000e+03
  -6.415328e-01  7.589404e-01]]"
19,1,POINT (805713.2844130972 2184054.8196739587),"[[ 4.180000e+02  6.530000e+02  4.090000e+02  9.530000e+02  2.793000e+03
  -6.210099e-01  7.445347e-01]]"
20,1,POINT (805664.0033269064 2182570.4133287747),"[[ 2.840000e+02  5.540000e+02  3.900000e+02  9.840000e+02  2.271000e+03
  -6.077876e-01  7.068771e-01]]"
21,1,POINT (805964.6413417959 2181037.0093203452),"[[ 3.070000e+02  5.320000e+02  3.620000e+02  9.910000e+02  2.405000e+03
  -6.377256e-01  7.383448e-01]]"
22,1,POINT (806887.3218322909 2179691.2498353706),"[[ 3.450000e+02  5.310000e+02  4.420000e+02  8.910000e+02  1.786000e+03
  -5.416487e-01  6.032316e-01]]"
23,1,POINT (809464.1389814222 2182706.936654831),"[[ 2.1700000e+02  4.3700000e+02  2.2000000e+02  9.4800000e+02
   2.8680000e+03 -7.3555219e-01  8.5751295e-01]]"
24,5,POINT (805962.5305877059 2182506.498374061),[[nan nan nan nan nan nan nan]]
25,5,POINT (805498.7578550281 2182755.2389527936),[[nan nan nan nan nan nan nan]]
26,2,POINT (806409.1958705685 2182838.175217774),"[[ 3.6100000e+02  7.2500000e+02  5.7500000e+02  1.1080000e+03
   1.4340000e+03 -3.2839277e-01  4.2757592e-01]]"
27,5,POINT (807677.4628830804 2181487.930033258),[[nan nan nan nan nan nan nan]]
28,5,POINT (808371.6294424544 2181618.571884804),[[nan nan nan nan nan nan nan]]
29,2,POINT (808832.5910749778 2181844.3442570046),"[[ 3.3500000e+02  7.4200000e+02  5.9600000e+02  1.1440000e+03
   1.5750000e+03 -3.5951662e-01  4.5094427e-01]]"
30,5,POINT (810037.2485359483 2181605.015418878),[[nan nan nan nan nan nan nan]]
31,2,POINT (811107.4861995366 2180600.2474490744),"[[ 4.520000e+02  5.280000e+02  6.150000e+02  8.150000e+02  1.219000e+03
  -3.955352e-01  3.293348e-01]]"
32,2,POINT (813961.346249896 2181498.510669286),"[[ 3.2300000e+02  3.6800000e+02  4.4400000e+02  6.3900000e+02
   1.3200000e+03 -5.6398106e-01  4.9659863e-01]]"
33,2,POINT (816509.8075718621 2181228.4564064373),"[[ 8.2800000e+02  1.2190000e+03  1.5630000e+03  1.8520000e+03
   2.5230000e+03 -3.4847674e-01  2.3494861e-01]]"
34,5,POINT (821281.9246572922 2183210.394025668),[[nan nan nan nan nan nan nan]]
35,2,POINT (806276.2562354398 2180420.8802670846),"[[ 2.6500000e+02  4.6900000e+02  4.2800000e+02  9.0000000e+02
   1.2550000e+03 -4.5591646e-01  4.9138445e-01]]"
36,2,POINT (808104.0015332729 2180409.913234005),"[[ 3.6400000e+02  4.0100000e+02  4.6800000e+02  7.3800000e+02
   1.4720000e+03 -5.7180995e-01  5.1752579e-01]]"
37,2,POINT (804985.8939660128 2182128.557384345),"[[ 5.6000000e+02  6.2700000e+02  7.1600000e+02  9.1900000e+02
   1.4300000e+03 -3.9037433e-01  3.3271202e-01]]"
38,5,POINT (803823.2493747029 2183254.107135338),[[nan nan nan nan nan nan nan]]
39,3,POINT (806870.2425467796 2182180.4325653696),"[[ 2.0200000e+02  2.3000000e+02  1.3200000e+02  2.2100000e+02
   2.6500000e+02 -7.0707068e-02  3.3501258e-01]]"
40,5,POINT (806817.0289060025 2181754.5930042136),[[nan nan nan nan nan nan nan]]
41,3,POINT (814965.9648086745 2182052.7711617444),"[[4.0400000e+02 4.1800000e+02 2.5500000e+02 2.4500000e+02 4.0000000e+02
  2.2004889e-02 2.2137405e-01]]"
42,5,POINT (813316.9975163637 2181421.6417576843),[[nan nan nan nan nan nan nan]]
43,3,POINT (817828.4808384723 2182946.4951271946),"[[ 2.8900000e+02  2.6800000e+02  2.2200000e+02  3.0200000e+02
   5.2500000e+02 -3.2408574e-01  4.0562248e-01]]"
44,3,POINT (816553.7633454821 2183313.2864068835),"[[ 3.0700000e+02  3.3200000e+02  2.6700000e+02  3.3000000e+02
   5.3400000e+02 -2.3325635e-01  3.3333334e-01]]"
45,3,POINT (809776.9368004736 2180545.178109241),"[[ 2.64000000e+02  2.92000000e+02  1.79000000e+02  2.11000000e+02
   3.01000000e+02 -1.51770655e-02  2.54166663e-01]]"
46,3,POINT (808445.4515375326 2180904.527063579),"[[2.3100000e+02 2.9100000e+02 1.6600000e+02 1.9500000e+02 2.6500000e+02
  4.6762589e-02 2.2969837e-01]]"
47,5,POINT (812352.9767712236 2180122.6978805475),[[nan nan nan nan nan nan nan]]
48,4,POINT (812053.242122878 2180149.317895468),"[[ 1.1040000e+03  1.5530000e+03  1.7210000e+03  1.9140000e+03
   2.8220000e+03 -2.9005715e-01  2.4235088e-01]]"
