dates,GPHT,days_from_start,linfit,ndates
2010-01-15,0.43775854,0,0.31513521464237404,2010-01-15
2010-01-23,0.4250409,8,0.3153080565674653,2010-01-23
2010-01-28,0.43804786,13,0.3154160827706473,2010-01-28
2010-02-02,0.38778406,18,0.3155241089738294,2010-02-02
2010-04-05,0.22314467,80,0.31686363389328664,2010-04-05
2010-05-08,0.31189513,113,0.31757660683428807,2010-05-08
2010-12-05,0.4742586,324,0.32213531260857003,2010-12-05
2011-02-24,0.39032102,405,0.323885337100119,2011-02-24
2011-04-09,0.19865578,449,0.32483596768812095,2011-04-09
2011-04-14,0.20292573,454,0.324943993891303,2011-04-14
2011-05-07,0.21633038,477,0.32544091442594036,2011-05-07
2011-10-22,0.40196404,645,0.32907059485285683,2011-10-22
2011-10-26,0.34140813,649,0.32915701581540247,2011-10-26
2011-12-28,0.39235315,712,0.3305181459754961,2011-12-28
2012-02-07,0.34650502,753,0.3314039608415888,2012-02-07
2012-04-03,0.23742637,809,0.3326138543172276,2012-04-03
2012-04-21,0.29376325,827,0.33300274864868296,2012-04-21
2012-04-22,0.2807178,828,0.3330243538893194,2012-04-22
2012-07-10,0.2376388,907,0.33473116789959556,2012-07-10
2012-07-28,0.32649913,925,0.3351200622310509,2012-07-28
2012-10-12,0.49551907,1001,0.33676206051941787,2012-10-12
2013-01-05,0.5734507,1086,0.3385985059735125,2013-01-05
2013-03-27,0.22832312,1167,0.34034853046506147,2013-03-27
2013-05-17,0.22174475,1218,0.3414503977375183,2013-05-17
2013-07-18,0.15850663,1280,0.3427899226569755,2013-07-18
2013-10-15,0.33527836,1369,0.3447127890736158,2013-10-15
2014-01-12,0.43280733,1458,0.34663565549025604,2014-01-12
2014-02-10,0.42723873,1487,0.34726220746871184,2014-02-10
2014-04-05,0.19449596,1541,0.34842889046307784,2014-04-05
2014-07-21,0.21782571,1648,0.3507406512111735,2014-07-21
2014-10-04,0.34586453,1723,0.352361044258904,2014-10-04
2014-12-22,0.43644208,1802,0.3540678582691802,2014-12-22
2015-02-25,0.40866494,1867,0.35547219891054666,2015-02-25
2015-03-02,0.3911207,1872,0.3555802251137287,2015-03-02
2015-04-22,0.33599517,1923,0.3566820923861855,2015-04-22
2015-05-08,0.14755628,1939,0.357027776236368,2015-05-08
2015-05-12,0.27309066,1943,0.35711419719891363,2015-05-12
2015-07-07,0.15346488,1999,0.35832409067455245,2015-07-07
2015-08-09,0.18137048,2032,0.3590370636155539,2015-08-09
2015-09-24,0.40667075,2078,0.3600309046848286,2015-09-24
2015-09-27,0.4048396,2081,0.3600957204067379,2015-09-27
2015-10-07,0.48211804,2091,0.36031177281310195,2015-10-07
2015-12-06,0.45779735,2151,0.3616080872512864,2015-12-06
2015-12-14,0.45294568,2159,0.36178092917637766,2015-12-14
2016-01-08,0.43346658,2184,0.3623210601922878,2016-01-08
2016-01-18,0.4342978,2194,0.3625371125986519,2016-01-18
2016-02-03,0.46988344,2210,0.3628827964488344,2016-02-03
2016-03-01,0.44372225,2237,0.3634661379460174,2016-03-01
2016-03-05,0.38226852,2241,0.36355255890856303,2016-03-05
2016-03-09,0.35762352,2245,0.36363897987110866,2016-03-09
2016-03-18,0.3742144,2254,0.36383342703683635,2016-03-18
2016-04-16,0.32505396,2283,0.36445997901529215,2016-04-16
2016-06-24,0.24640755,2352,0.3659507406192043,2016-06-24
2016-09-15,0.31605104,2435,0.3677439755920261,2016-09-15
2016-09-23,0.4296134,2443,0.36791681751711736,2016-09-23
2017-05-30,0.22182691,2692,0.3732965224355828,2017-05-30
2017-06-10,0.19628122,2703,0.37353418008258327,2017-06-10
2017-08-07,0.15311804,2761,0.3747872840394949,2017-08-07
2017-10-08,0.49048686,2823,0.3761268089589522,2017-10-08
2017-10-13,0.44013038,2828,0.3762348351621342,2017-10-13
2017-12-20,0.4400895,2896,0.3777039915254099,2017-12-20
2017-12-27,0.49523824,2903,0.3778552282098647,2017-12-27
2018-02-02,0.46340033,2940,0.37865462211341183,2018-02-02
2018-03-12,0.38689452,2978,0.3794756212575953,2018-03-12
2018-03-20,0.31861117,2986,0.3796484631826866,2018-03-20
2018-07-23,0.1779306,3111,0.3823491182622375,2018-07-23
2018-08-18,0.38683227,3137,0.3829108545187841,2018-08-18
2018-09-25,0.40143666,3175,0.3837318536629676,2018-09-25
2018-12-30,0.46997184,3271,0.3858059567640627,2018-12-30
2019-12-27,0.5046624,3633,0.3936270538744422,2019-12-27
2020-01-11,0.4538324,3648,0.3939511324839883,2020-01-11
2020-01-20,0.48279303,3657,0.39414557964971597,2020-01-20
2020-02-12,0.41600722,3680,0.3946425001843533,2020-02-12
