dates,GPHT,days_from_start,linfit,ndates
2010-01-15,0.7676406946770279,0,1.7515365685598663,2010-01-15
2010-01-23,0.8338636863118567,8,1.7497078665109609,2010-01-23
2010-01-28,0.7392814317945269,13,1.748564927730395,2010-01-28
2010-02-02,0.968666326912184,18,1.747421988949829,2010-02-02
2010-04-05,1.4603729738212163,80,1.733249548070812,2010-04-05
2010-05-08,2.5646602966089103,113,1.7257061521190773,2010-05-08
2010-12-05,0.6309581491235815,324,1.6774741355791971,2010-12-05
2011-02-24,1.215850383731367,405,1.65895852733403,2011-02-24
2011-04-09,3.9229370203847065,449,1.64890066606505,2011-04-09
2011-04-14,2.7744486673522135,454,1.647757727284484,2011-04-14
2011-05-07,1.6787710454316553,477,1.6425002088938812,2011-05-07
2011-10-22,0.9155854113534413,645,1.6040974658668674,2011-10-22
2011-10-26,1.1556434391651107,649,1.6031831148424147,2011-10-26
2011-12-28,0.9333488150404243,712,1.5887820862072846,2011-12-28
2012-02-07,1.3286119077349507,753,1.5794099882066444,2012-02-07
2012-04-03,3.237594586808755,809,1.5666090738643066,2012-04-03
2012-04-21,3.152496852021543,827,1.5624944942542693,2012-04-21
2012-04-22,2.5450638830347736,828,1.562265906498156,2012-04-22
2012-07-10,1.568086173876546,907,1.5442074737652152,2012-07-10
2012-07-28,1.5719472940562986,925,1.5400928941551781,2012-07-28
2012-10-12,0.5855950164615846,1001,1.5227202246905767,2012-10-12
2013-01-05,0.4600788388775337,1086,1.5032902654209566,2013-01-05
2013-03-27,1.77141660473579,1167,1.4847746571757894,2013-03-27
2013-05-17,1.6419011000318742,1218,1.4731166816140173,2013-05-17
2013-07-18,1.2298612767182502,1280,1.4589442407350004,2013-07-18
2013-10-15,1.4867618579645634,1369,1.4385999304409278,2013-10-15
2014-01-12,0.844887345613128,1458,1.418255620146855,2014-01-12
2014-02-10,0.8455692361630259,1487,1.411626575219573,2014-02-10
2014-04-05,2.0085182964869186,1541,1.3992828363894614,2014-04-05
2014-07-21,3.2194227132271633,1648,1.3748239464853516,2014-07-21
2014-10-04,1.2104798507602368,1723,1.3576798647768633,2014-10-04
2014-12-22,0.6622493091967998,1802,1.3396214320439224,2014-12-22
2015-02-25,1.0728206606170312,1867,1.324763227896566,2015-02-25
2015-03-02,1.3335319199726712,1872,1.323620289116,2015-03-02
2015-04-22,2.2543779448883434,1923,1.311962313554228,2015-04-22
2015-05-08,3.0747816636261307,1939,1.3083049094564172,2015-05-08
2015-05-12,2.3944529967421713,1943,1.3073905584319645,2015-05-12
2015-07-07,2.9113567986277498,1999,1.2945896440896267,2015-07-07
2015-08-09,1.7534183990780123,2032,1.2870462481378917,2015-08-09
2015-09-24,0.6490047909508525,2078,1.2765312113566858,2015-09-24
2015-09-27,1.1272524904111847,2081,1.275845448088346,2015-09-27
2015-10-07,0.5765824789061456,2091,1.2735595705272145,2015-10-07
2015-12-06,0.6306812477185246,2151,1.2598443051604238,2015-12-06
2015-12-14,0.6555895822013985,2159,1.2580156031115184,2015-12-14
2016-01-08,0.7458259850450633,2184,1.252300909208689,2016-01-08
2016-01-18,0.7381913474785661,2194,1.2500150316475573,2016-01-18
2016-02-03,0.6523829613896244,2210,1.2463576275497465,2016-02-03
2016-03-01,0.6615009988533872,2237,1.2401857581346907,2016-03-01
2016-03-05,1.3899390167618606,2241,1.239271407110238,2016-03-05
2016-03-09,1.542624877705655,2245,1.238357056085785,2016-03-09
2016-03-18,1.1780899974628685,2254,1.2362997662807667,2016-03-18
2016-04-16,1.9106139827143462,2283,1.2296707213534845,2016-04-16
2016-06-24,1.1519747235387046,2352,1.2138981661816755,2016-06-24
2016-09-15,1.1234060486353414,2435,1.1949253824242816,2016-09-15
2016-09-23,0.8230256788529805,2443,1.1930966803753762,2016-09-23
2017-05-30,1.3766116318118802,2692,1.1361783291031955,2017-05-30
2017-06-10,1.956467511478743,2703,1.1336638637859504,2017-06-10
2017-08-07,0.43962661088063437,2761,1.1204057739313862,2017-08-07
2017-10-08,0.517646790321897,2823,1.1062333330523693,2017-10-08
2017-10-13,0.8034240821625501,2828,1.1050903942718033,2017-10-13
2017-12-20,0.7083702873609221,2896,1.0895464268561073,2017-12-20
2017-12-27,0.547703384634733,2903,1.087946312563315,2017-12-27
2018-02-02,0.5931461811878341,2940,1.0794885655871276,2018-02-02
2018-03-12,1.037201572878364,2978,1.0708022308548268,2018-03-12
2018-03-20,1.4134248557689228,2986,1.0689735288059214,2018-03-20
2018-07-23,2.5701736643844417,3111,1.0404000592917746,2018-07-23
2018-08-18,1.4517561940553687,3137,1.034456777632832,2018-08-18
2018-09-25,0.941909052412463,3175,1.025770442900531,2018-09-25
2018-12-30,0.6551752218245332,3271,1.0038260183136662,2018-12-30
2019-12-27,0.5084999351296353,3633,0.9210772506006963,2019-12-27
2020-01-11,0.6186555837649578,3648,0.9176484342589987,2020-01-11
2020-01-20,0.5149884360069488,3657,0.9155911444539802,2020-01-20
2020-02-12,0.930163363782842,3680,0.9103336260633771,2020-02-12
