dates,GPHT_landward,days_from_start,linfit,ndates
2010-01-15,0.5948841301442099,0,1.6632247296338045,2010-01-15
2010-01-23,0.7260863458555842,8,1.660661635154763,2010-01-23
2010-01-28,0.5647400186350524,13,1.659059701105362,2010-01-28
2010-02-02,0.6826789225294075,18,1.6574577670559612,2010-02-02
2010-04-05,1.5750416735144273,80,1.637593784843389,2010-04-05
2010-05-08,1.9647515936124071,113,1.6270210201173427,2010-05-08
2010-12-05,0.533125079960766,324,1.5594194032326218,2010-12-05
2011-02-24,0.9635304280313496,405,1.5334680716323263,2011-02-24
2011-04-09,4.6507158577814085,449,1.5193710519975978,2011-04-09
2011-04-14,3.6871232029680012,454,1.5177691179481967,2011-04-14
2011-05-07,2.180973652067702,477,1.5104002213209524,2011-05-07
2011-10-22,0.5987228554571039,645,1.4565752372610798,2011-10-22
2011-10-26,0.6813266511605506,649,1.4552936900215592,2011-10-26
2011-12-28,0.6235311180876811,712,1.4351093209991068,2011-12-28
2012-02-07,0.9440897960952567,753,1.421973461794019,2012-02-07
2012-04-03,3.5167207499549304,809,1.4040318004407282,2012-04-03
2012-04-21,2.9251574437841787,827,1.3982648378628846,2012-04-21
2012-04-22,2.0053131821489205,828,1.3979444510530046,2012-04-22
2012-07-10,0.987887821352079,907,1.3726338930724693,2012-07-10
2012-07-28,1.3178427525052052,925,1.3668669304946257,2012-07-28
2012-10-12,0.40843027437591706,1001,1.342517532943731,2012-10-12
2013-01-05,0.43403091706116764,1086,1.3152846541039147,2013-01-05
2013-03-27,1.8283591769353222,1167,1.289333322503619,2013-03-27
2013-05-17,1.4324669852085163,1218,1.272993595199729,2013-05-17
2013-07-18,1.347799529986645,1280,1.2531296129871572,2013-07-18
2013-10-15,0.9505925533001446,1369,1.22461518690782,2013-10-15
2014-01-12,0.5749857309889671,1458,1.1961007608284828,2014-01-12
2014-02-10,0.6127555246148385,1487,1.1868095433419572,2014-02-10
2014-04-05,2.1147518928494016,1541,1.1695086556084267,2014-04-05
2014-07-21,3.084990636559206,1648,1.135227266951246,2014-07-21
2014-10-04,0.8061835565373464,1723,1.1111982562102316,2014-10-04
2014-12-22,0.37897119681195984,1802,1.0858876982296963,2014-12-22
2015-02-25,0.7183383200486332,1867,1.0650625555874838,2015-02-25
2015-03-02,0.8569911504424779,1872,1.0634606215380829,2015-03-02
2015-04-22,1.2459426860656708,1923,1.047120894234193,2015-04-22
2015-05-08,3.544054498609878,1939,1.0419947052761098,2015-05-08
2015-05-12,1.8261411274955293,1943,1.040713158036589,2015-05-12
2015-07-07,2.520730429576411,1999,1.0227714966832981,2015-07-07
2015-08-09,1.2147698894042098,2032,1.0121987319572519,2015-08-09
2015-09-24,0.36609276073841507,2078,0.9974609387027629,2015-09-24
2015-09-27,0.613575311395228,2081,0.9964997782731223,2015-09-27
2015-10-07,0.41575749895822417,2091,0.9932959101743204,2015-10-07
2015-12-06,0.39414198576599735,2151,0.9740727015815088,2015-12-06
2015-12-14,0.40929191323314223,2159,0.9715096071024673,2015-12-14
2016-01-08,0.42421503887256823,2184,0.9634999368554624,2016-01-08
2016-01-18,0.5046077481361362,2194,0.9602960687566605,2016-01-18
2016-02-03,0.4546409815797148,2210,0.9551698797985774,2016-02-03
2016-03-01,0.4856529207422748,2237,0.9465194359318122,2016-03-01
2016-03-05,0.8360850396786519,2241,0.9452378886922914,2016-03-05
2016-03-09,0.8224590828748728,2245,0.9439563414527706,2016-03-09
2016-03-18,0.6804997819082326,2254,0.941072860163849,2016-03-18
2016-04-16,1.2874595569385265,2283,0.9317816426773233,2016-04-16
2016-06-24,0.48073847834723876,2352,0.90967495279559,2016-06-24
2016-09-15,0.8203717933561887,2435,0.8830828475755339,2016-09-15
2016-09-23,0.6185352037288967,2443,0.8805197530964923,2016-09-23
2017-05-30,1.1033161833658591,2692,0.8007434374363243,2017-05-30
2017-06-10,1.2894015345666385,2703,0.7972191825276421,2017-06-10
2017-08-07,1.038118578565369,2761,0.7786367475545909,2017-08-07
2017-10-08,0.3589850270435554,2823,0.7587727653420189,2017-10-08
2017-10-13,0.5361964792786342,2828,0.757170831292618,2017-10-13
2017-12-20,0.4219163431168846,2896,0.7353845282207648,2017-12-20
2017-12-27,0.35768640073196034,2903,0.7331418205516035,2017-12-27
2018-02-02,0.37035787523979624,2940,0.7212875085860363,2018-02-02
2018-03-12,0.6139105407039263,2978,0.709112809810589,2018-03-12
2018-03-20,0.7791705061368408,2986,0.7065497153315474,2018-03-20
2018-07-23,1.8288465162078544,3111,0.6665013640965233,2018-07-23
2018-08-18,0.8948651207554362,3137,0.6581713070396382,2018-08-18
2018-09-25,0.43748597305829723,3175,0.6459966082641908,2018-09-25
2018-12-30,0.4367144121918503,3271,0.6152394745156924,2018-12-30
2019-12-27,0.331751522432578,3633,0.4992594493390623,2019-12-27
2020-01-11,0.4243588198266972,3648,0.4944536471908594,2020-01-11
2020-01-20,0.33779194115088423,3657,0.4915701659019378,2020-01-20
2020-02-12,0.5766033289318641,3680,0.4842012692746933,2020-02-12
