dates,GPHT,days_from_start,linfit,ndates
2010-01-15,1.03469183600223,0,2.280583646173251,2010-01-15
2010-01-23,1.1907453146878701,8,2.2778264525125818,2010-01-23
2010-01-28,1.0193661165977537,13,2.276103206474663,2010-01-28
2010-02-02,1.3478118435188418,18,2.274379960436745,2010-02-02
2010-05-08,4.575394949254931,113,2.241638285716297,2010-05-08
2010-12-05,0.940800315561189,324,2.1689173029161437,2010-12-05
2011-02-24,1.739959813211641,405,2.141000717101867,2011-02-24
2011-10-22,1.285840401300254,645,2.058284907281787,2011-10-22
2011-12-28,1.2885370714039908,712,2.0351934103736817,2011-12-28
2012-02-07,2.443228350123403,753,2.021062792862751,2012-02-07
2012-04-21,6.72898544749969,827,1.9955587515015603,2012-04-21
2012-04-22,5.942669609827113,828,1.9952141022939764,2012-04-22
2012-10-12,0.7587036549731647,1001,1.9355897893820024,2012-10-12
2013-01-05,0.605774818965651,1086,1.906294606737391,2013-01-05
2013-10-15,2.083874191728813,1369,1.8087588809912138,2013-10-15
2014-01-12,1.2121891998520746,1458,1.7780851015162678,2014-01-12
2014-02-10,1.1459979716268274,1487,1.7680902744963416,2014-02-10
2014-10-04,1.6780319878502319,1723,1.6867530615065967,2014-10-04
2014-12-22,0.8568427258799155,1802,1.659525774107487,2014-12-22
2015-02-25,1.5779143194672034,1867,1.6371235756145488,2015-02-25
2015-04-22,3.6465977481498544,1923,1.6178232199898637,2015-04-22
2015-09-27,1.6760220418678609,2081,1.5633686451916446,2015-09-27
2015-10-07,0.8542811521631737,2091,1.5599221531158078,2015-10-07
2015-12-06,0.8578287395693279,2151,1.539243200660788,2015-12-06
2015-12-14,0.7696037262204395,2159,1.5364860070001187,2015-12-14
2016-01-08,1.0717894799265613,2184,1.527869776810527,2016-01-08
2016-01-18,0.9969121828167754,2194,1.5244232847346906,2016-01-18
2016-02-03,0.9084354127182901,2210,1.5189088974133518,2016-02-03
2016-03-05,2.110138202514601,2241,1.5082247719782582,2016-03-05
2016-03-09,2.3352816789020108,2245,1.5068461751479236,2016-03-09
2016-04-16,3.681991830191996,2283,1.4937495052597443,2016-04-16
2016-09-23,1.2206714182983334,2443,1.4386056320463578,2016-09-23
2017-10-08,0.8027125594189698,2823,1.3076389331645655,2017-10-08
2017-10-13,1.2464085688542312,2828,1.3059156871266469,2017-10-13
2017-12-20,1.0169299766605817,2896,1.2824795410109577,2017-12-20
2017-12-27,0.7323442532852069,2903,1.2800669965578721,2017-12-27
2018-02-02,0.8349358675423328,2940,1.2673149758772766,2018-02-02
2018-03-12,1.2911271142210639,2978,1.2542183059890972,2018-03-12
2018-03-20,2.683666513098914,2986,1.251461112328428,2018-03-20
2018-09-25,1.2739878215781182,3175,1.1863224120951152,2018-09-25
2018-12-30,0.9156291688951486,3271,1.1532360881670836,2018-12-30
2019-12-27,0.7097692045274148,3633,1.0284730750217967,2019-12-27
2020-01-11,0.7847162784897661,3648,1.023303336908042,2020-01-11
2020-01-20,0.7546082786670263,3657,1.020201494039789,2020-01-20
2020-02-12,1.0206132319874666,3680,1.0122745622653646,2020-02-12
