dates,GPHT_seaward,days_from_start,linfit,ndates
2010-01-15,0.5549327,0,0.4118098656507063,2010-01-15
2010-01-23,0.5272767,8,0.4118590684611121,2010-01-23
2010-01-28,0.546135,13,0.41188982021761567,2010-01-28
2010-02-02,0.4936067,18,0.4119205719741193,2010-02-02
2010-04-05,0.3001653,80,0.4123018937547639,2010-04-05
2010-05-08,0.38800097,113,0.41250485534768766,2010-05-08
2010-12-05,0.55162215,324,0.4138025794721395,2010-12-05
2011-02-24,0.46966863,405,0.4143007579274978,2011-02-24
2011-04-09,0.27267423,449,0.4145713733847295,2011-04-09
2011-04-14,0.28722927,454,0.41460212514123307,2011-04-14
2011-05-07,0.301882,477,0.4147435832211496,2011-05-07
2011-10-22,0.47033462,645,0.41577684223967054,2011-10-22
2011-10-26,0.4418115,649,0.4158014436448734,2011-10-26
2011-12-28,0.47988838,712,0.41618891577681877,2011-12-28
2012-02-07,0.4246355,753,0.4164410801801483,2012-02-07
2012-04-03,0.3264091,809,0.4167854998529886,2012-04-03
2012-04-21,0.37719503,827,0.41689620617640155,2012-04-21
2012-04-22,0.36469617,828,0.41690235652770224,2012-04-22
2012-07-10,0.32713848,907,0.4173882342804591,2012-07-10
2012-07-28,0.39489448,925,0.4174989406038721,2012-07-28
2012-10-12,0.57551074,1001,0.4179663673027268,2012-10-12
2013-01-05,0.6977783,1086,0.41848914716328794,2013-01-05
2013-03-27,0.31539986,1167,0.41898732561864627,2013-03-27
2013-05-17,0.29234442,1218,0.41930099353498296,2013-05-17
2013-07-18,0.23591371,1280,0.4196823153156276,2013-07-18
2013-10-15,0.40911385,1369,0.42022969658139164,2013-10-15
2014-01-12,0.51230943,1458,0.4207770778471557,2014-01-12
2014-02-10,0.5251607,1487,0.42095543803487656,2014-02-10
2014-04-05,0.2705201,1541,0.42128755700511544,2014-04-05
2014-07-21,0.2898033,1648,0.42194564459429246,2014-07-21
2014-10-04,0.43425876,1723,0.42240692094184645,2014-10-04
2014-12-22,0.5025599,1802,0.4228927986946033,2014-12-22
2015-02-25,0.46325785,1867,0.42329257152915006,2015-02-25
2015-03-02,0.45359883,1872,0.4233233232856537,2015-03-02
2015-04-22,0.3864744,1923,0.4236369912019904,2015-04-22
2015-05-08,0.20492008,1939,0.4237353968228019,2015-05-08
2015-05-12,0.32142916,1943,0.4237599982280048,2015-05-12
2015-07-07,0.22105947,1999,0.4241044179008451,2015-07-07
2015-08-09,0.24109636,2032,0.42430737949376884,2015-08-09
2015-09-24,0.48202446,2078,0.42459029565360196,2015-09-24
2015-09-27,0.41174752,2081,0.4246087467075041,2015-09-27
2015-10-07,0.5396622,2091,0.4246702502205113,2015-10-07
2015-12-06,0.53253794,2151,0.4250392712985545,2015-12-06
2015-12-14,0.53401095,2159,0.4250884741089602,2015-12-14
2016-01-08,0.4853182,2184,0.4252422328914782,2016-01-08
2016-01-18,0.5060538,2194,0.42530373640448543,2016-01-18
2016-02-03,0.54339916,2210,0.42540214202529697,2016-02-03
2016-03-01,0.55872655,2237,0.4255682015104164,2016-03-01
2016-03-05,0.42980924,2241,0.42559280291561924,2016-03-05
2016-03-09,0.41077727,2245,0.4256174043208221,2016-03-09
2016-03-18,0.43919528,2254,0.42567275748252864,2016-03-18
2016-04-16,0.40034023,2283,0.42585111767024947,2016-04-16
2016-06-24,0.3197816,2352,0.42627549190999914,2016-06-24
2016-09-15,0.39001474,2435,0.4267859710679589,2016-09-15
2016-09-23,0.49715337,2443,0.42683517387836467,2016-09-23
2017-05-30,0.29219705,2692,0.42836661135224385,2017-05-30
2017-06-10,0.26246163,2703,0.4284342652165518,2017-06-10
2017-08-07,0.19218177,2761,0.4287909855919935,2017-08-07
2017-10-08,0.4972576,2823,0.4291723073726382,2017-10-08
2017-10-13,0.48854178,2828,0.42920305912914175,2017-10-13
2017-12-20,0.49672168,2896,0.42962128301759067,2017-12-20
2017-12-27,0.55955684,2903,0.42966433547669575,2017-12-27
2018-02-02,0.5103861,2940,0.42989189847482234,2018-02-02
2018-03-12,0.4598133,2978,0.4301256118242497,2018-03-12
2018-03-20,0.36739796,2986,0.43017481463465546,2018-03-20
2018-07-23,0.24313252,3111,0.43094360854724545,2018-07-23
2018-08-18,0.4121915,3137,0.43110351768106414,2018-08-18
2018-09-25,0.40866128,3175,0.4313372310304915,2018-09-25
2018-12-30,0.5261278,3271,0.4319276647553606,2018-12-30
2019-12-27,0.54756445,3633,0.4341540919262211,2019-12-27
2020-01-11,0.49965736,3648,0.43424634719573196,2020-01-11
2020-01-20,0.5188485,3657,0.4343017003574384,2020-01-20
2020-02-12,0.45315623,3680,0.434443158437355,2020-02-12
